word,definition
nonplussed,"bewildered or unsure; puzzled"
contrite,"feeling or expressing remorse or penitence; affected by guilt"
histrionic,"overly theatrical or melodramatic in character or style"
confound,"to cause surprise or confusion by acting against expectations"
ponderous,"slow and clumsy because of great weight; dull or laborious"
chutzpah,"shameless audacity; impudence"
klutz,"a clumsy person"
nebbish,"a timid, meek, or ineffectual person"
schmaltzy,"excessively sentimental"
kibitz,"to offer unwelcome or meddlesome advice, often as a spectator"
shtick,"a comic theme or gimmick; a characteristic habit or routine"
kvetch,"to complain persistently"
maelstrom,"a powerful whirlpool; a situation of confused movement or turmoil"
bazaar,"a market, often in the Middle East, consisting of rows of shops or stalls"
clairvoyant,"having the supposed ability to perceive things beyond normal sensory contact"
saga,"a long, involved story, account, or series of incidents"
berserk,"out of control with anger or excitement; wild or frenzied"
mecca,"a place that attracts people to it for a particular reason"
hegira,"an exodus or migration, especially for safety or freedom"
mediocre,"of only average quality; not very good"
cardinal,"of the greatest importance; fundamental"
penultimate,"second to last"
abysmal,"extremely bad; appalling"
mundane,"lacking interest or excitement; dull; of this earthly world"
nonpareil,"having no match or equal; unrivaled"
catalyst,"something that provokes or speeds up significant change or action"
fulcrum,"the point on which a lever rests or pivots; a central or essential role"
entropy,"a measure of disorder or randomness; gradual decline into disorder"
hypothesize,"to propose a theory or explanation based on limited evidence"
empirical,"based on observation or experience rather than theory or pure logic"
centripetal,"moving or directed toward a center"
irrefutable,"impossible to deny or disprove"
pervasive,"spreading widely throughout an area or a group"
ubiquitous,"present, appearing, or found everywhere"
ascendant,"rising in power or influence"
predominant,"present as the strongest or main element"
sparse,"thinly dispersed or scattered; not dense"
rampant,"spreading unchecked, especially of something unwelcome"
rife,"of common or frequent occurrence; widespread, especially something undesirable"
diminish,"to make or become less"
petulant,"childishly sulky or bad-tempered"
peevish,"easily irritated, especially by unimportant things"
entreat,"to ask someone earnestly or anxiously to do something"
supplicate,"to ask or beg for something earnestly or humbly"
remonstrate,"to make a forcefully reproachful protest"
gainsay,"to deny or contradict a statement or fact"
adjure,"to urge or request solemnly or earnestly"
thwart,"to prevent someone from accomplishing something"
galvanize,"to shock or excite someone into taking action"
stymie,"to prevent or hinder the progress of"
inexorable,"impossible to stop or prevent"
tonic,"something that invigorates or refreshes; a medicinal substance"
indomitable,"impossible to subdue or defeat"
armistice,"an agreement made by opposing sides in a war to stop fighting"
entente,"a friendly understanding or informal alliance between states or factions"
cede,"to give up power or territory, typically by treaty"
accord,"an official agreement or treaty"
annex,"to add territory to one’s own, often without permission"
maraud,"to roam in search of things to steal or people to attack"
martial,"relating to war or the military"
revanchism,"a policy of seeking to retaliate, especially to recover lost territory"
cordial,"warm and friendly"
aloof,"not friendly or forthcoming; cool and distant"
misanthrope,"a person who dislikes and avoids other people"
congenial,"pleasant because of personality, qualities, or interests similar to one's own"
amiable,"having or displaying a friendly and pleasant manner"
abominable,"causing moral revulsion; very bad or unpleasant"
odious,"extremely unpleasant; repulsive"
curmudgeon,"a bad-tempered or surly person"
lambast,"to criticize harshly"
acrimonious,"angry and bitter in speech or tone"
excorciate,"to criticize severely and publicly"
invidious,"likely to arouse resentment or anger in others"
aspersion,"an attack on the reputation or integrity of someone or something"
rail,"to complain or protest strongly and persistently"
inveigh,"to speak or write about something with great hostility"
vituperative,"bitter and abusive"
immaculate,"perfectly clean; free from flaws or mistakes"
defile,"to spoil or desecrate something sacred or pure"
adultery,"voluntary sexual intercourse between a married person and someone who is not their spouse"
degrade,"to treat or regard someone with contempt or disrespect"
sully,"to damage the purity or integrity of; to tarnish"
unblemished,"not damaged or marked in any way; flawless"
vitiate,"to spoil or impair the quality or efficiency of something"
dictum,"a formal or authoritative statement"
platitude,"a remark or statement, especially one with moral content, that has been used too often to be interesting or thoughtful"
aphorism,"a concise, clever statement of a general truth or principle"
cliché,"an overused expression or idea that has lost its originality"
maxim,"a short, pithy statement expressing a general truth or rule of conduct"
precept,"a general rule intended to regulate behavior or thought"
bromide,"a trite or unoriginal idea or remark, typically intended to soothe or placate"
abate,"to become less intense or widespread"
exacerbate,"to make a problem, situation, or feeling worse"
truncate,"to shorten something by cutting off the top or end"
escalate,"to increase or intensify rapidly"
curtail,"to reduce in extent or quantity; to impose a restriction on"
assuage,"to make an unpleasant feeling less intense"
augment,"to make something greater by adding to it"
cessation,"the fact or process of ending or being brought to an end"
self-aggrandizing,"promoting oneself as powerful or important, often excessively"
self-deprecating,"modest or critical of oneself, especially humorously"
altruistic,"showing a selfless concern for the well-being of others"
modest,"unassuming or moderate in estimation of one's abilities or achievements"
selfless,"concerned more with the needs of others than with oneself"
egotistical,"excessively self-centered or conceited"
self-effacing,"not claiming attention for oneself; retiring and modest"
self-abnegation,"the denial or suppression of one's own interests for the sake of others"
eke,"to make an amount or supply last by using it frugally"
mar,"to impair the appearance or quality of; to spoil"
imp,"a mischievous child or small devilish creature"
ire,"intense anger"
vie,"to compete eagerly with someone in order to do or achieve something"
woe,"great sorrow or distress"
nub,"the central or most important point of an issue"
char,"to burn or scorch something slightly"
pith,"the essential or central part of something"
carp,"to complain or find fault continually, typically about trivial matters"
moil,"to work hard or drudge"
foil,"to prevent the success of something; a contrasting character or element"
curt,"rudely brief in speech or manner"
deft,"neatly skillful and quick in one's movements"
crux,"the decisive or most important point of an issue"
disenchantment,"a feeling of disappointment about someone or something that was previously respected or admired"
indefatigable,"persisting tirelessly"
infinitesimal,"extremely small"
commensurate,"corresponding in size, degree, or extent; proportionate"
prognostication,"the act of forecasting or predicting the future"
indemnification,"compensation for harm or loss"
unprepossessing,"not attractive or appealing in appearance"
pulchritudinous,"physically beautiful"
cumbersome,"large or heavy and therefore difficult to carry or use; unwieldy"
palpable,"able to be touched or felt; clear or obvious"
gossamer,"something very light, thin, and delicate"
indiscernible,"impossible to see or clearly distinguish"
insubstantial,"lacking strength, solidity, or substance"
intangible,"unable to be touched or grasped; not having physical presence"
translucent,"allowing light to pass through but not detailed shapes"
fracas,"a noisy disturbance or quarrel"
furor,"an outbreak of public anger or excitement"
détente,"the easing of hostility or strained relations, especially between countries"
hullabaloo,"a commotion or fuss"
ado,"fuss, especially about something unimportant"
fiasco,"a complete failure, especially in a ludicrous or humiliating way"
reconciliation,"the restoration of friendly relations"
rift,"a serious break or crack in relationships or structures"
derivative,"imitative of the work of another person, lacking originality"
orthodox,"conforming to traditional or generally accepted beliefs or practices"
pedestrian,"lacking inspiration or excitement; dull"
banal,"so lacking in originality as to be obvious and boring"
hackneyed,"overused and unoriginal"
trite,"overused and consequently of little import; lacking originality"
prosaic,"commonplace; lacking poetic beauty"
quotidian,"occurring every day; ordinary or mundane"
pioneering,"involving new ideas or methods; groundbreaking"
avant-garde,"new and unusual or experimental ideas, especially in the arts"
maverick,"an independent-minded person who does not go along with a group"
visionary,"thinking about or planning the future with imagination or wisdom"
unconventional,"not based on or conforming to what is generally done or believed"
radical,"relating to or affecting the fundamental nature of something; far-reaching or thorough"
nudge,"to gently push or persuade someone toward a course of action"
coerce,"to persuade someone to do something by force or threats"
duress,"threats, violence, or constraints used to coerce someone"
coax,"to gently and persistently persuade someone"
goad,"to provoke or annoy someone so as to stimulate action"
induce,"to succeed in persuading or leading someone to do something"
cajole,"to persuade someone using flattery or gentle urging"
blandishment,"a flattering or pleasing statement used to persuade someone"
perplexed,"completely baffled or confused"
equanimity,"mental calmness and composure, especially under stress"
imperturbable,"unable to be upset or excited; calm"
poised,"having a composed and self-assured manner"
flummox,"to bewilder or confuse someone greatly"
discombobulated,"confused and disoriented"
aplomb,"self-confidence or assurance, especially in a demanding situation"
baffle,"to totally bewilder or confuse"
speculation,"the forming of a theory without firm evidence"
conjecture,"an opinion or conclusion formed on the basis of incomplete information"
presumption,"an idea that is taken to be true, often without proof"
aver,"to state or assert to be the case"
submit,"to present or propose something for consideration or judgment"
postulate,"to suggest or assume the existence or truth of something as a basis for reasoning"
posit,"to assume or assert the existence or truth of something"
innocuous,"not harmful or offensive"
insidious,"proceeding in a gradual, subtle way but with harmful effects"
salubrious,"health-giving; healthy"
revitalize,"to give new life, energy, or strength to"
pernicious,"having a harmful effect, especially in a gradual or subtle way"
restorative,"having the ability to restore health, strength, or well-being"
deleterious,"causing harm or damage"
indignant,"feeling or showing anger at something perceived as unjust"
bristle,"to react angrily or defensively"
disgruntled,"angry or dissatisfied"
incensed,"very angry; enraged"
peeve,"to annoy or irritate"
piqued,"irritated or resentful"
irate,"feeling or characterized by great anger"
wrath,"extreme anger"
intrepid,"fearless; adventurous"
formidable,"inspiring fear or respect through being impressively powerful or capable"
craven,"contemptibly lacking in courage; cowardly"
undaunted,"not intimidated or discouraged by difficulty or danger"
plucky,"having or showing determined courage in the face of difficulties"
valorous,"showing great courage in the face of danger"
pusillanimous,"showing a lack of courage or determination; timid"
redoubtable,"formidable, especially as an opponent"
edict,"an official order or proclamation issued by an authority"
abrogate,"to repeal or do away with a law or agreement"
promulgate,"to promote or make widely known; to put a law into effect officially"
enact,"to make a proposal into law"
annul,"to declare something legally invalid or void"
fiat,"an arbitrary or authoritative order or decree"
rescind,"to revoke, cancel, or repeal a law or agreement"
obtuse,"slow to understand; annoyingly insensitive or dull"
niche,"a comfortable or suitable position in life or employment; a specialized segment"
astute,"having or showing an ability to accurately assess situations and turn this to one's advantage"
acumen,"the ability to make good judgments and quick decisions"
shrewd,"having sharp powers of judgment; astute"
acute,"having a sharp or keen insight or perception"
bailiwick,"a person's area of skill, knowledge, authority, or interest"
benign,"gentle and kindly; not harmful"
