word,definition
Extant,"Still in existence; surviving."
Exquisite,"Extremely beautiful and, typically, delicate."
Excommunicate,"To officially exclude someone from participation in the sacraments and services of the Christian Church."
Exert,"To apply or bring to bear (a force, influence, or quality)."
Exempt,"Free from an obligation or liability imposed on others."
Exact,"To demand and obtain (something, especially a payment or service) from someone."
Excruciating,"Intensely painful; mentally agonizing."
Exemplar,"A person or thing serving as a typical example or excellent model."
Exhume,"To dig out (something buried, especially a corpse) from the ground."
Exorcise,"To expel an evil spirit from a person or place."
Expatriate,"A person who lives outside their native country."
Expedient,"Convenient and practical although possibly improper or immoral."
Expeditious,"Done with speed and efficiency."
Expend,"To spend or use up (a resource such as money, time, or energy)."
Explicate,"To explain in detail; to make clear."
Exploit,"To make full use of and derive benefit from (a resource); or an adventurous or heroic act."
Exposé,"A report of the facts about something, especially a journalistic revelation."
Extemporaneous,"Spoken or done without preparation."
Expostulate,"To express strong disapproval or disagreement."
Extort,"To obtain something by force, threats, or other unfair means."
Extradite,"To hand over a person accused or convicted of a crime to the jurisdiction of another state or country."
Expository,"Intended to explain or describe something."
Exult,"To show or feel elation or jubilation, especially as the result of a success."
Extricate,"To free someone or something from a constraint or difficulty."
Imbibe,"To drink (especially alcohol); to absorb ideas or knowledge."
Impeach,"To charge a public official with misconduct."
Immerse,"To dip or submerge in a liquid; to involve deeply in an activity or interest."
Impair,"To weaken or damage something."
Impart,"To make (information) known; to bestow."
Imbue,"To inspire or permeate with a feeling or quality."
Impel,"To drive, force, or urge someone to do something."
Impenetrable,"Impossible to pass through or enter; incomprehensible."
Implausible,"Not seeming reasonable or probable; failing to convince."
Implore,"To beg someone earnestly or desperately to do something."
Imponderable,"Difficult or impossible to estimate or assess."
Impoverished,"Made poor or deprived of strength or vitality."
Impuissant,"Lacking strength or power; weak."
Inadvertent,"Not resulting from or achieved through deliberate planning; unintentional."
Inculcate,"To instill an idea or habit by persistent instruction."
Inamorata,"A woman with whom one is in love or has a romantic relationship."
Inane,"Silly or stupid; lacking sense or meaning."
Inapt,"Not suitable or appropriate in the circumstances."
Incandescent,"Emitting light as a result of being heated; full of strong emotion."
Inadmissible,"Not allowed or accepted as valid, especially in court."
Incarcerate,"To imprison or confine."
Inclement,"(Of the weather) unpleasantly cold or wet; severe."
Incipient,"In an initial stage; beginning to happen or develop."
Incentivize,"To provide someone with an incentive for doing something."
Inception,"The establishment or starting point of an institution or activity."
Incinerate,"To destroy (especially waste material) by burning."
Incite,"To encourage or stir up violent or unlawful behavior."
Incongruous,"Not in harmony or keeping with the surroundings or other aspects of something."
Inconsolable,"Not able to be comforted or consoled."
Incorrigible,"Not able to be corrected, improved, or reformed."
