word,definition
preamble,an introductory statement or preface, especially in a document or speech
presage,a sign or warning that something, typically bad, will happen; an omen
prescient,having foresight or knowledge of events before they take place
predilection,a preference or special liking for something; a bias in favor of something
precipitate,to cause something to happen suddenly or unexpectedly; to bring about abruptly
predicate,to base or establish something on a particular fact or premise; in grammar, the part of a sentence that contains the verb and states something about the subject
sentiment,a view or attitude toward a situation or event; an expression of feeling
precedent,an earlier event or action that serves as an example or guide for future similar circumstances
pretentious,attempting to impress by affecting greater importance or culture than is actually possessed
pretense,a false display of feelings, attitudes, or intentions; a claim that is not genuine
predecessor,a person who held a job or position before someone else
precursor,a person or thing that comes before another of the same kind; a forerunner
pretext,a reason given in justification of a course of action that is not the real reason
precocious,having developed abilities or tendencies at an earlier age than usual
preclude,to prevent something from happening; to make impossible
tantalize,to tease or torment someone with the promise of something unattainable
pyrrhic,achieved at excessive cost, making it hardly worthwhile
laconic,using very few words; concise or terse in speech or writing
draconian,excessively harsh or severe, especially in laws or rules
jeremiad,a long, mournful complaint or lamentation; a list of woes
cicerone,a guide, especially one who gives informative tours of museums or historical sites
nemesis,a long-standing rival; an agent of downfall or retribution
platonic,relating to a non-romantic, purely spiritual or intellectual relationship
thespian,relating to drama and the theater; an actor or performer
spartan,marked by simplicity, strict self-discipline, and a lack of luxury
juggernaut,a massive and unstoppable force, campaign, or movement
maudlin,overly sentimental, often in a tearful or self-pitying way
hector,to bully or intimidate through bluster or aggressive behavior
filial,relating to the relationship between a child and parent
droll,amusingly odd or whimsical
faux pas,a social blunder or mistake
in lieu of,in place of; instead of
enfant terrible,a person whose unconventional or controversial behavior shocks or annoys others
tête-à-tête,a private conversation between two people
savoir-vivre,the ability to live with refinement and social grace
savoir-faire,the ability to act or speak appropriately in social situations
esprit de corps,a feeling of pride, fellowship, and loyalty among members of a group
nonchalant,calm and unconcerned, often in an indifferent or casual manner
adroit,skillful and clever, especially with the hands or in handling situations
chicanery,deception or trickery, especially by using clever or dishonest means
demure,modest, reserved, or shy in manner or appearance
insouciant,showing a lack of concern; carefree
arriviste,a person who has recently gained wealth or social status, often in an ambitious or unscrupulous way
parvenu,someone who has recently risen to wealth or power but lacks the social acceptance of the established elite
rapport,a close and harmonious relationship in which people understand each other well
passé,no longer fashionable or relevant; outdated
cache,a hidden store of goods or valuables
raconteur,a person who tells stories in an amusing or engaging way
sortie,a sudden attack or excursion, especially by troops
gauche,lacking social grace or tact; awkward
sangfroid,composure or coolness, especially under pressure
liaison,a person who facilitates communication between groups; a secret romantic relationship
envoy,a messenger or representative, especially in diplomacy
sans,without
filial,relating to the relationship between a child and parent
poltergeist,a ghost or supernatural force that causes physical disturbances
kitsch,art or objects considered to be in poor taste but appreciated in an ironic or sentimental way
doppelganger,a double or lookalike of a person, often considered a supernatural counterpart
kaput,broken or destroyed; no longer working or effective
verboden,forbidden or prohibited
zeitgeist,the spirit or mood of a particular period in history, reflected in its ideas and culture
schadenfreude,pleasure derived from another person's misfortune
bildungsroman,a novel that focuses on the psychological and moral growth of its protagonist from youth to adulthood
citadel,a fortress protecting a city, typically on high ground
burlesque,a literary, dramatic, or musical work intended to cause laughter by caricaturing serious works
pastiche,a work that imitates the style of previous works, often as a tribute or parody
archipelago,a group or chain of islands
salvo,a sudden, forceful attack or outburst, often in the form of gunfire or criticism
imbroglio,a complicated or embarrassing situation, often involving a misunderstanding or scandal
literal,taking words in their usual or most basic sense without metaphor or exaggeration
bravado,a show of boldness or confidence intended to impress or intimidate
manifesto,a public declaration of intentions, beliefs, or policies, especially in politics or art
ruffian,a violent or lawless person; a bully or thug
dilettante,a person who dabbles in a field of knowledge or arts without serious commitment
cognoscenti,people who are well-informed or knowledgeable about a particular subject
intelligentsia,the intellectual elite of society
guru,a spiritual teacher or an expert in a particular field
bungalow,a low, one-story house, often with a broad porch
pundit,an expert who offers opinions or commentary in a particular field, often in media
karma,the concept of cause and effect in which a person's actions determine their future fate
mantra,a repeated word or phrase, often used in meditation or as a guiding principle
avatar,a manifestation or representation of a person, deity, or idea, often in digital form
pariah,a social outcast; someone who is despised or rejected by society
wanderlust,a strong desire to travel and explore the world
cosmopolitan,familiar with and at ease in many different countries and cultures
insular,ignorant of or uninterested in cultures, ideas, or people outside one's own experience
provincial,limited in perspective; narrow-minded or unsophisticated
jaunt,a short trip or excursion for pleasure
parochial,relating to a parish; having a narrow or limited outlook
junket,an extravagant trip or celebration, often funded by someone else
sedulous,showing dedication and diligence
restive,restless, uneasy, or difficult to control
peruse,to read or examine something carefully or thoroughly
punctilious,showing great attention to detail or correct behavior
equivocate,to use ambiguous language to conceal the truth or avoid commitment
predicament,a difficult, unpleasant, or embarrassing situation
prepossessing,attractive or appealing in appearance
gratuitous,unnecessary or unwarranted; given freely
intemperate,lacking self-control; excessive, especially with regard to alcohol or emotions
burnish,to polish or enhance something, especially reputation or appearance
quiescent,inactive or dormant; at rest
redress,to remedy or set right a wrong or grievance
remiss,negligent in one's duties or responsibilities
preeminent,surpassing all others; distinguished or superior
mannerism,a habitual way of behaving or speaking; a distinctive personal trait
placid,calm, peaceful, and untroubled
rambunctious,uncontrollably energetic and noisy
susurrus,a whispering or rustling sound
murmur,a soft, indistinct sound made by a person or group speaking quietly
raucous,making or characterized by a loud, harsh noise
hubbub,a chaotic and noisy situation
obstreperous,boisterous and difficult to control
prudent,acting with care and thought for the future; wise
weary,feeling or showing tiredness
impetuous,acting or done quickly without thought or care
heedless,showing a reckless lack of attention or consideration
chary,cautiously or suspiciously reluctant to do something
rash,acting without thinking of the consequences
reticent,not revealing one's thoughts or feelings readily; reserved
